county,state,pay,employee
Gladwin,Michigan,4683,95
Gogebic,Michigan,15316,328
Grand Traverse,Michigan,2786,38
Hillsdale,Michigan,351,17
Houghton,Michigan,2935,74
Huron,Michigan,139,6
Ingham,Michigan,89,5
Ionia,Michigan,6609,143
Iosco,Michigan,465,16
Iron,Michigan,10312,261
Isabella,Michigan,2401,57
Jackson,Michigan,117,8
Kalamazoo,Michigan,88726,1408
Kent,Michigan,202894,3982
Keweenaw,Michigan,351,13
Lake,Michigan,2009,60
Lapeer,Michigan,3985,105
Lenawee,Michigan,13915,330
Livingston,Michigan,4316,69
Luce,Michigan,11505,210
Mackinac,Michigan,4137,97
Macomb,Michigan,27658,631
Marquette,Michigan,16183,280
Mason,Michigan,1922,56
Mecosta,Michigan,206,9
Menominee,Michigan,23856,447
Missaukee,Michigan,13818,335
Monroe,Michigan,25250,614
Montmorency,Michigan,6197,140
Muskegon,Michigan,4173,117
Newaygo,Michigan,113,2
Oakland,Michigan,30627,684
Oceana,Michigan,960,30
Ogemaw,Michigan,2499,69
Ontonagon,Michigan,666,25
Osceola,Michigan,4114,108
Oscoda,Michigan,3898,91
Otsego,Michigan,2623,47
Ottawa,Michigan,38492,816
Presque Isle,Michigan,6665,211
Saginaw,Michigan,2900,63
Schoolcraft,Michigan,3349,74
St. Joseph,Michigan,53728,1005
Washtenaw,Michigan,16174,322
Wayne,Michigan,86931,1994
Wexford,Michigan,873,25
Aitkin,Minnesota,7133,164
Anoka,Minnesota,43650,792
Becker,Minnesota,3027,104
Beltrami,Minnesota,15933,253
Benton,Minnesota,20451,425
Blue Earth,Minnesota,1913,29
Carlton,Minnesota,4136,56
Carver,Minnesota,729,16
Cass,Minnesota,4473,128
Chisago,Minnesota,504,12
Clearwater,Minnesota,932,32
Cottonwood,Minnesota,1354,72
Crow Wing,Minnesota,7708,221
Dakota,Minnesota,77267,1305
Douglas,Minnesota,773,19
Fillmore,Minnesota,2909,70
Freeborn,Minnesota,15760,306
Goodhue,Minnesota,3626,90
Hennepin,Minnesota,133713,2287
Houston,Minnesota,3592,73
Hubbard,Minnesota,11961,244
Isanti,Minnesota,4366,112
Itasca,Minnesota,13847,318
Kandiyohi,Minnesota,158,6
Koochiching,Minnesota,6690,209
Lake,Minnesota,11300,172
Lyon,Minnesota,7485,158
McLeod,Minnesota,142484,2315
Mille Lacs,Minnesota,3359,79
Morrison,Minnesota,2387,72
Nicollet,Minnesota,7650,198
Otter Tail,Minnesota,6658,184
Pine,Minnesota,2975,77
